requestId,startedAt,status,engine,provider,model,effort,durationSeconds,stepCount,toolCallCount,toolResultErrorCount,readToolCount,patchToolCount,captureToolCount,errorClasses
1788615719487-2c3558f7-94b0-4e6e-9e58-0e1b2d4e0b66,2026-09-05T13:41:59.487Z,completed,codex-native,codex-cli,gpt-6-astra,high,1618.382,1,26,6,8,9,6,code:CODEX_TOOL_FAILED
1788614468278-de45f8e2-ac81-4b15-97cd-a7690a84073a,2026-09-05T13:21:08.278Z,completed,codex-native,codex-cli,gpt-6-astra,max,1197.686,1,20,0,8,6,4,
1788614455031-ca28b296-f485-4efc-8ab3-0b81ffe50007,2026-09-05T13:20:55.031Z,cancelled,codex-native,codex-cli,gpt-6-astra,medium,5.829,1,0,0,0,0,0,kind:cancelled
1788614292892-a716bd51-c806-48ee-ba0c-9940325352e4,2026-09-05T13:18:12.892Z,completed,codex-native,codex-cli,gpt-6-astra,medium,37.05,1,0,0,0,0,0,
1788613364125-7b4a850e-a670-4d1e-874a-8136854f1bbb,2026-09-05T13:02:44.125Z,failed,codex-native,codex-cli,gpt-6-astra,medium,24.806,1,0,0,0,0,0,code:CODEX_NATIVE_FAILED
1788543222162-c12c6da9-cc76-4b7a-97d5-8bbedc7f1eb6,2026-09-04T17:33:42.162Z,completed,,api,glm-5.3-flash,medium,377.954,15,14,1,2,5,3,code:INVALID_ARGS
1788543073316-bf159cc4-9e0a-4ae1-800f-b72d9e9ea061,2026-09-04T17:31:13.316Z,completed,,api,glm-5.3-flash,medium,58.612,7,6,1,1,0,0,code:CANVAS_ONE_TOOL_PER_STEP
1788503715288-ee26c43e-71ab-4fe9-8a4d-13a69acafae6,2026-09-04T06:35:15.288Z,completed,,api,deepseek-v4-flash-vision-exp,xhigh,251.355,8,7,1,1,1,2,code:CANVAS_ONE_TOOL_PER_STEP
1788502773054-9733f74a-9920-4e23-8b59-85cfd5526f86,2026-09-04T06:19:33.054Z,completed,,api,deepseek-v4-flash-vision-exp,xhigh,297.121,17,16,1,2,3,6,code:CANVAS_ONE_TOOL_PER_STEP
1788465341748-32dd7a09-3a86-4844-b67a-a7fa93307b9f,2026-09-03T19:55:41.748Z,completed,,claude-cli,claude-opus-5,xhigh,173.86,8,7,0,2,1,4,code:CLI_DECISION_REJECTED
1788465235334-2d6fbd81-6788-4f16-9d57-86f1f346591a,2026-09-03T19:53:55.334Z,abandoned,,api,kimi-k3,xhigh,50.308,1,0,0,0,0,0,
1788451251608-a32a667d-5ba2-4d52-a2bb-dddf03dfcdfa,2026-09-03T16:00:51.607Z,cancelled,,api,kimi-k3,max,245.719,2,1,0,0,0,0,kind:user
1788450679679-52fc518f-c3a4-4c3b-9ab2-4e09c1347f35,2026-09-03T15:51:19.679Z,completed,codex-native,codex-cli,gpt-5.6-luna,medium,84.156,1,7,4,0,0,4,code:CODEX_TOOL_FAILED
1788450638816-5269b288-943e-478c-96ea-5d809c10b8f1,2026-09-03T15:50:38.816Z,completed,codex-native,codex-cli,gpt-5.6-luna,medium,15.403,1,1,0,0,0,0,
1788450579574-25c00e91-7009-4148-9dca-ef4984bec943,2026-09-03T15:49:39.574Z,completed,codex-native,codex-cli,gpt-5.6-luna,medium,19.576,1,1,0,0,0,0,
